state,year,mean_roa,median_roa,roa_std,roa_iqr,n_firms
TX,1983,0.07595492159921753,0.09991023664174789,0.16460543061648777,0.13834521903101407,636
TX,1984,0.07682162727904211,0.108670403900204,0.17694691133688717,0.1457982657578548,619
TX,1985,0.054721665090347635,0.0913446867280012,0.20209233437685745,0.15332998733664827,632
TX,1986,0.03008284755162616,0.07372884761159756,0.20784373426745872,0.16982283979468074,646
TX,1987,0.05808659302352789,0.08499089628637191,0.1830593871832381,0.14680881078733296,647
TX,1988,0.06242353758994148,0.08768637264101763,0.1794198295621154,0.13166285842197875,653
TX,1989,0.07884854319070414,0.09804208104630821,0.16577049234184443,0.13327424097307558,658
TX,1990,0.08246958406963067,0.10307317191665166,0.17184141707567274,0.13794981353536942,660
TX,1991,0.08142235589417518,0.10115169601950316,0.1735609501667523,0.12998008383413753,667
TX,1992,0.0788132970190262,0.10516424526461093,0.17741893866671377,0.11897485175093564,698
TX,1993,0.07536096054040267,0.10498395158013771,0.19415839401390925,0.12049490270980882,754
TX,1994,0.08667811538163957,0.10766964046251719,0.17721016744580542,0.11742960151660105,776
TX,1995,0.09110736503493091,0.11286426787273307,0.1805332613801969,0.12227007518416977,850
TX,1996,0.0871599277878731,0.11162294366506306,0.17873806582329851,0.14000983640308629,881
TX,1997,0.07191134121428513,0.10656989916411952,0.2026876345007123,0.14610615849402347,842
TX,1998,0.04549675793466526,0.09209703373106233,0.22717533968525835,0.1394852266106178,827
TX,1999,0.038566798302969205,0.08196359802481831,0.22614194542623534,0.12739330823150738,832
TX,2000,0.04426088911115945,0.09310298458335452,0.2416935164470719,0.15780043775566122,785
TX,2001,0.042614469468830664,0.09011007031730214,0.24058803386329722,0.14999756182994528,728
TX,2002,0.061107484015008824,0.08755582856345107,0.20176151317571017,0.1275328368415385,707
TX,2003,0.06779922984419817,0.09366148423239126,0.20479672506574562,0.13298423322467787,707
TX,2004,0.07337238337634729,0.1013684040419816,0.21422893764846185,0.13798336251181606,703
TX,2005,0.07389544335474034,0.09829636352239311,0.22617542595018605,0.15873069560822867,687
TX,2006,0.07942507094266743,0.10327733406774993,0.22757500907184552,0.15411347750835655,681
TX,2007,0.07270938659449268,0.09886615044247787,0.21216314431712666,0.13805324583174808,645
TX,2008,0.07884216895270853,0.09667949402351803,0.1927804326172821,0.1483552771456349,626
TX,2009,0.052688065366227485,0.07972576414677851,0.18324990665324042,0.11585102010906716,641
TX,2010,0.06715467215850103,0.08945149523888182,0.1913642860908894,0.11689675303034766,638
TX,2011,0.06834890149997179,0.09531694619250387,0.19398841406396655,0.12692398961757376,638
TX,2012,0.06643467478260277,0.0902744445528719,0.20954841847369773,0.13097566084481455,643
TX,2013,0.0589467255824064,0.09250977839546352,0.1958324336262279,0.12614621299468143,657
TX,2014,0.04940176247252753,0.08702586496050044,0.2041441425184136,0.12867495504789042,630
TX,2015,0.006132814174332488,0.06823255844847859,0.23490916605847675,0.14034398141304275,598
TX,2016,0.01486464958358731,0.0585654748017059,0.22005003737510412,0.11333224516217427,586
TX,2017,0.03708783479478596,0.07585873545231626,0.21432787907913983,0.10530823178718368,579
TX,2018,0.05709773279158111,0.0897396804835016,0.21476272541459918,0.1246893110960015,545
TX,2019,0.038201768367333105,0.08046924803902547,0.21714503069386198,0.11120982867534503,527
TX,2020,-0.009411057011169285,0.04900643816416833,0.21866432428969287,0.1543561276850399,521
TX,2021,0.0403179738613455,0.07190671561217879,0.20765169313187062,0.1392392774053245,501
TX,2022,0.04508724341809287,0.08137034659820283,0.26370833135761584,0.1460391708696815,487
TX,2023,0.04051567831213191,0.08705224416148942,0.24281288673490392,0.1464437942834053,461
TX,2024,0.035623846957198,0.08534628453703869,0.22749740798159016,0.1285793645333419,429
TX,2025,0.05797075465600376,0.10962464026992161,0.2973401624027719,0.12297495801784189,27
UT,1963,0.12178098074322237,0.10140244018170007,0.09007898243499493,0.08840506146767856,10
UT,1964,0.15639838288363994,0.1092300536061879,0.1555256311762814,0.09422530739088623,12
UT,1965,0.15570828618918103,0.12508796588537957,0.12705164754073497,0.10253459116596965,14
UT,1966,0.17621867471854008,0.12724612005359381,0.14524810474186503,0.16036470164602107,14
UT,1967,0.15071709227465493,0.11719784604335229,0.12215092147899721,0.10090824257305395,14
UT,1968,0.1318511854296844,0.09877119972461106,0.1103584351781068,0.12245344299222086,13
UT,1969,0.10618364601831269,0.10393617686453085,0.07582464905325399,0.11766600748635392,14
UT,1970,0.095382817606255,0.09662811054552792,0.056666155192424884,0.08367580493912549,14
UT,1971,0.07786993292372697,0.087847615240782,0.07917850141007926,0.08356949580585261,15
UT,1972,0.09695022605589033,0.09239681800777075,0.08232014412825936,0.06072225602265158,16
UT,1973,0.09114130466146331,0.09302643543269182,0.08362818903460717,0.11579326334177863,20
UT,1974,0.06230999074022708,0.07407524814343264,0.15845056242025826,0.1351836901571793,36
