state,year,mean_mb,median_mb,std_mb,n_obs,mean_pe,median_pe,total_mktcap,mean_mktcap,total_emp,n_firms,mb_change,pe_change,mktcap_change,log_mb_change,log_mktcap_change
AL,2022,1.7822269487167302,1.407810213699819,1.104087639217506,20,17.60179906671827,8.538637908173612,67549.94762,3377.497381,92.262,20,-2.155986995630277,-15.910155567017526,-16.652527643034276,-2.1795679461246276,-18.215190290240102
AL,2023,1.5758054467877813,1.1701746860532192,1.0823973763191028,23,16.447674323880882,8.747319351757334,70333.437525,3057.9755445652177,98.9915,23,-11.582223132557834,-6.556856708014724,4.120639620119948,-12.309714077599587,4.0380037224666765
AL,2024,1.9893748579387245,1.3535673025444503,1.6678655573325774,21,15.901975961137971,11.304944661098855,82168.43104,3912.7824304761903,90.712,21,26.24495377865259,-3.317784338364449,16.82698007017396,23.305391129847475,15.552385148257564
AR,1990,1.8591390450328364,1.4295018800326726,1.5254760925062993,18,15.73280735756988,13.440077378751997,45017.58633798652,2500.9770187770287,525.841,18,,,,,
AR,1991,2.1230488590326364,1.7539018033964089,1.8205222120789646,22,18.469355104029557,17.58130966243421,72487.21249791686,3294.8732953598574,577.21,22,14.195270370169588,17.393893437225483,61.01976670559757,13.273969505367223,47.635694602911904
AR,1992,2.7876071664824535,1.8808494486564344,3.0940336758487694,23,19.990344512397765,19.164133752084545,87912.52618439325,3822.2837471475327,656.399,23,31.302073177563237,8.235205830421034,21.280048100787006,27.23303848194868,19.293213251528307
AR,1993,2.9021961652322155,2.067376384887452,2.9983981314545316,25,21.442572880499416,16.810520291622087,73781.67221137103,2951.266888454841,754.187,25,4.110658062855976,7.264649026938952,-16.073766261002763,4.028416732054896,-17.52319427355875
AR,1994,2.2426759431408887,1.7034755467731548,1.8091165888019551,26,26.825777816442052,14.537563131313131,64505.74484781675,2480.9901864544904,853.007,26,-22.724867119330515,25.105219256772582,-12.572129480855953,-25.779797838977238,-13.435606950110923
AR,1995,1.918896388975986,1.6419146752509923,1.256568563274916,26,26.60974952384347,16.796279283417547,59511.61965356527,2288.908448214049,926.0840000000001,26,-14.437197454013184,-0.8053011326522475,-7.742140186170577,-15.59195469808915,-8.058270546294999
AR,1996,1.676958902632756,1.660128788060561,0.7604030853709433,29,19.571583619275504,15.600056389723168,68760.79232577904,2371.0618043372083,978.205,29,-12.608157883518622,-26.449575928031443,15.541792890289209,-13.476824731137526,14.446212173025863
AR,1997,2.4587092208458654,2.1347807403415224,1.623162060753598,33,29.661552111522795,21.138243634608422,109413.04306992874,3315.54675969481,1075.145,33,46.6171423155209,51.55417511697911,59.121265722979174,38.26545292035557,46.44964030444605
AR,1998,2.5170294500408037,1.7400253451079162,3.322430271157342,31,22.090877343752307,14.83310757235364,206379.36564,6657.398891612904,1169.541,31,2.371985621580519,-25.52352870580048,88.62409805026404,2.344291127379905,63.458594938014734
AR,1999,3.454111746066672,1.2712746271752584,5.812675065590214,30,14.544510275908511,10.65354147250699,255575.95466000002,8519.198488666667,1400.4579999999999,30,37.2296913733241,-34.16055845322976,23.83793983833471,31.64859153171118,21.380358804258925
AR,2000,2.0640972780895335,1.0732428036277604,2.3720977859790087,27,21.68282606226609,12.573840920261738,261862.43957750002,9698.60887324074,1485.071,27,-40.242313224521496,49.07910717476316,2.4597325385571134,-51.48723544890559,2.429968212093492
AR,2001,2.5771651179564676,1.7618692367409539,2.839078159989308,27,26.10615019868196,16.921286112836526,277015.5477481,10259.835101781482,1666.463,27,24.8567664573355,20.400127380598377,5.786667303279036,22.199702596382064,5.62543075677624
