state,year,unemployment_rate
NH,2017,2.808333333333333
NH,2018,2.6333333333333333
NH,2019,2.5500000000000003
NH,2020,6.75
NH,2021,3.475
NH,2022,2.4166666666666665
NH,2023,2.2583333333333333
NJ,1995,6.408333333333334
NJ,1996,6.108333333333333
NJ,1997,5.325
NJ,1998,4.566666666666666
NJ,1999,4.441666666666666
NJ,2000,3.65
NJ,2001,4.2250000000000005
NJ,2002,5.7749999999999995
NJ,2003,5.8500000000000005
NJ,2004,4.916666666666667
NJ,2005,4.441666666666666
NJ,2006,4.691666666666667
NJ,2007,4.208333333333333
NJ,2008,5.425
NJ,2009,8.833333333333334
NJ,2010,9.666666666666666
NJ,2011,9.4
NJ,2012,9.450000000000001
NJ,2013,8.416666666666666
NJ,2014,6.683333333333334
NJ,2015,5.691666666666666
NJ,2016,4.933333333333334
NJ,2017,4.516666666666667
NJ,2018,4.016666666666667
NJ,2019,3.4583333333333335
NJ,2020,9.483333333333333
NJ,2021,6.691666666666666
NJ,2022,3.85
NJ,2023,4.2749999999999995
NM,1995,6.633333333333333
NM,1996,7.5249999999999995
NM,1997,6.425
NM,1998,6.233333333333333
NM,1999,5.583333333333333
NM,2000,5.016666666666667
NM,2001,4.966666666666667
NM,2002,5.4750000000000005
NM,2003,5.925
NM,2004,5.583333333333333
NM,2005,5.2250000000000005
NM,2006,4.233333333333333
NM,2007,3.5416666666666665
NM,2008,4.375
NM,2009,7.05
NM,2010,7.816666666666666
NM,2011,7.216666666666666
NM,2012,6.95
NM,2013,6.8999999999999995
NM,2014,6.558333333333334
NM,2015,6.608333333333333
NM,2016,6.783333333333334
NM,2017,6.116666666666667
NM,2018,4.933333333333334
NM,2019,4.966666666666667
NM,2020,7.925
NM,2021,7.066666666666666
NM,2022,4.066666666666667
NM,2023,3.6666666666666665
NY,1995,6.325
NY,1996,6.241666666666667
NY,1997,6.416666666666667
NY,1998,5.583333333333333
NY,1999,5.183333333333334
NY,2000,4.5
NY,2001,4.866666666666666
NY,2002,6.2
NY,2003,6.416666666666667
NY,2004,5.808333333333334
NY,2005,4.95
NY,2006,4.5
NY,2007,4.425
NY,2008,5.391666666666667
NY,2009,8.383333333333333
NY,2010,8.733333333333333
NY,2011,8.358333333333333
NY,2012,8.65
NY,2013,7.816666666666666
NY,2014,6.291666666666667
NY,2015,5.216666666666667
NY,2016,4.875
NY,2017,4.641666666666667
NY,2018,4.1000000000000005
NY,2019,3.891666666666667
NY,2020,9.908333333333333
NY,2021,7.083333333333333
NY,2022,4.291666666666667
NY,2023,4.041666666666667
NC,1995,4.366666666666666
NC,1996,4.341666666666667
NC,1997,3.8249999999999997
NC,1998,3.525
NC,1999,3.3000000000000003
NC,2000,3.75
NC,2001,5.4750000000000005
NC,2002,6.5249999999999995
NC,2003,6.258333333333333
NC,2004,5.466666666666666
NC,2005,5.216666666666667
NC,2006,4.733333333333333
NC,2007,4.716666666666667
NC,2008,5.933333333333334
NC,2009,10.791666666666666
NC,2010,10.799999999999999
NC,2011,10.35
NC,2012,9.6
NC,2013,7.7749999999999995
NC,2014,6.116666666666667
NC,2015,5.658333333333334
NC,2016,5.1
NC,2017,4.55
NC,2018,4.008333333333334
NC,2019,3.875
NC,2020,7.325
NC,2021,4.891666666666667
NC,2022,3.6750000000000003
NC,2023,3.4916666666666667
ND,1995,3.3249999999999997
ND,1996,3.141666666666667
ND,1997,2.9416666666666664
ND,1998,2.966666666666667
ND,1999,3.1500000000000004
ND,2000,2.908333333333333
ND,2001,2.8166666666666664
ND,2002,3.375
ND,2003,3.4499999999999997
ND,2004,3.358333333333333
ND,2005,3.3249999999999997
ND,2006,3.1166666666666667
ND,2007,3.0416666666666665
ND,2008,3.0749999999999997
ND,2009,3.875
ND,2010,3.658333333333333
ND,2011,3.341666666666667
ND,2012,2.9416666666666664
ND,2013,2.891666666666666
ND,2014,2.6666666666666665
ND,2015,2.775
ND,2016,3.016666666666667
ND,2017,2.6
ND,2018,2.3916666666666666
ND,2019,2.15
ND,2020,5.008333333333334
ND,2021,3.091666666666667
ND,2022,2.091666666666667
ND,2023,2.033333333333333
OH,1995,4.858333333333333
OH,1996,5.0
OH,1997,4.616666666666666
OH,1998,4.333333333333333
OH,1999,4.325
OH,2000,4.066666666666666
OH,2001,4.433333333333334
OH,2002,5.816666666666666
OH,2003,6.25
OH,2004,6.2250000000000005
OH,2005,5.8999999999999995
